year,player,pos,age,team_id,g,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,fg_per_poss,fga_per_poss,fg3_per_poss,fg3a_per_poss,fg2_per_poss,fg2a_per_poss,ft_per_poss,fta_per_poss,orb_per_poss,drb_per_poss,trb_per_poss,ast_per_poss,stl_per_poss,blk_per_poss,tov_per_poss,pf_per_poss,pts_per_poss,toss_col,off_rtg,def_rtg,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,DUMMY,ows,dws,ws,ws_per_48,DUMMY,obpm,dbpm,bpm,vorp
2022,"Achiuwa,Precious",C,22,TOR,73,28,1725,265,603,.439,56,156,.359,209,447,.468,.486,78,131,.595,146,327,473,82,37,41,84,151,664,7.7,17.5,1.6,4.5,6.1,13.0,2.3,3.8,4.2,9.5,13.7,2.4,1.1,1.2,2.4,4.4,19.2,0.0,105,110,12.7,.503,.259,.217,8.7,21.7,14.9,6.9,1.1,2.3,11.3,18.5,0.0,0.4,2.1,2.5,.070,0.0,-2.0,-0.6,-2.6,-0.2
2022,"Adams,Steven",C,28,MEM,76,75,1999,210,384,.547,0,1,.000,210,383,.548,.547,108,199,.543,349,411,760,256,65,60,115,153,528,5.0,9.2,0.0,0.0,5.0,9.2,2.6,4.8,8.4,9.8,18.2,6.1,1.6,1.4,2.8,3.7,12.6,0.0,125,108,17.6,.560,.003,.518,17.9,22.0,19.9,16.1,1.6,2.7,19.6,12.0,0.0,3.8,3.0,6.8,.163,0.0,1.0,1.0,2.0,2.0
2022,"Adebayo,Bam",C,24,MIA,56,56,1825,406,729,.557,0,6,.000,406,723,.562,.557,256,340,.753,137,427,564,190,80,44,148,171,1068,11.1,20.0,0.0,0.2,11.1,19.8,7.0,9.3,3.8,11.7,15.5,5.2,2.2,1.2,4.1,4.7,29.3,0.0,117,104,21.8,.608,.008,.466,8.7,26.1,17.5,17.5,2.2,2.6,14.4,25.0,0.0,3.6,3.5,7.2,.188,0.0,1.7,2.1,3.8,2.7
2022,"Aldama,Santi",PF,21,MEM,32,0,360,53,132,.402,6,48,.125,47,84,.560,.424,20,32,.625,33,54,87,21,6,10,16,36,132,7.0,17.5,0.8,6.4,6.2,11.2,2.7,4.3,4.4,7.2,11.6,2.8,0.8,1.3,2.1,4.8,17.5,0.0,101,111,10.2,.452,.364,.242,9.4,16.1,12.6,7.7,0.8,2.5,9.9,18.4,0.0,-0.1,0.4,0.3,.044,0.0,-4.2,-1.5,-5.7,-0.3
2022,"Aldridge,LaMarcus",C,36,BRK,47,12,1050,252,458,.550,14,46,.304,238,412,.578,.566,89,102,.873,73,185,258,42,14,47,44,78,607,11.6,21.1,0.6,2.1,11.0,19.0,4.1,4.7,3.4,8.5,11.9,1.9,0.6,2.2,2.0,3.6,28.0,0.0,119,112,19.6,.604,.100,.223,7.8,18.7,13.4,6.3,0.6,4.0,8.0,22.4,0.0,2.1,1.0,3.1,.141,0.0,1.3,-0.6,0.7,0.7
2022,"Alexander-Walker,Nickeil",SG,23,TOT,65,21,1466,253,680,.372,105,338,.311,148,342,.433,.449,81,109,.743,37,150,187,156,46,23,93,103,692,8.5,22.9,3.5,11.4,5.0,11.5,2.7,3.7,1.2,5.1,6.3,5.3,1.5,0.8,3.1,3.5,23.3,0.0,98,114,10.5,.475,.497,.160,2.7,11.5,7.1,16.1,1.5,1.5,11.3,24.1,0.0,-1.1,1.1,0.1,.003,0.0,-1.8,-1.1,-2.9,-0.3
2022,"Allen,Grayson",SG,26,MIL,66,61,1805,255,569,.448,159,389,.409,96,180,.533,.588,64,74,.865,32,190,222,100,46,18,43,96,733,6.8,15.1,4.2,10.4,2.6,4.8,1.7,2.0,0.9,5.1,5.9,2.7,1.2,0.5,1.1,2.6,19.5,0.0,122,114,12.7,.609,.684,.130,1.9,10.9,6.5,7.6,1.2,1.0,6.7,15.2,0.0,2.8,1.4,4.2,.110,0.0,0.6,-0.2,0.4,1.1
2022,"Allen,Jarrett",C,23,CLE,56,56,1809,369,545,.677,1,10,.100,368,535,.688,.678,165,233,.708,192,410,602,92,44,75,94,97,904,10.2,15.0,0.0,0.3,10.2,14.8,4.6,6.4,5.3,11.3,16.6,2.5,1.2,2.1,2.6,2.7,25.0,0.0,132,106,23.0,.698,.018,.428,12.0,24.5,18.4,8.2,1.2,3.7,12.7,18.1,0.0,5.4,3.0,8.5,.225,0.0,2.7,1.2,3.9,2.7
2022,"Alvarado,Jose",PG,23,NOP,54,1,834,131,294,.446,32,110,.291,99,184,.538,.500,36,53,.679,25,75,100,152,71,7,40,73,330,7.8,17.4,1.9,6.5,5.9,10.9,2.1,3.1,1.5,4.4,5.9,9.0,4.2,0.4,2.4,4.3,19.5,0.0,114,109,16.4,.520,.374,.180,3.2,10.2,6.6,26.9,4.2,0.8,11.2,18.4,0.0,1.0,1.1,2.1,.121,0.0,-0.5,2.4,1.9,0.8
2022,"Anderson,Justin",SF,28,TOT,16,6,316,36,95,.379,15,59,.254,21,36,.583,.458,15,19,.789,4,42,46,33,8,6,8,22,102,5.6,14.8,2.3,9.2,3.3,5.6,2.3,3.0,0.6,6.5,7.1,5.1,1.2,0.9,1.2,3.4,15.9,0.0,109,116,10.4,.493,.621,.200,1.4,15.0,8.1,14.2,1.2,1.7,7.2,15.1,0.0,0.2,0.2,0.4,.054,0.0,-1.9,-1.3,-3.2,-0.1
